!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: Vega
! Using recent Calspec Alpha Lyrea STIS spectrum:
! ftp://ftp.stsci.edu/cdbs/current_calspec/
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (caracteristic of CCDs)
!
! 2MASS Cohen et al. (2003) RSR JHK filters
! (energy counting + add. zps used)
!
!        Teff    Logg   [M/H]   [a/H]             J           H           K         J-H         J-K         H-K
      3300.00    3.50    0.00    0.00       -37.941     -38.678     -38.880       0.737       0.939       0.202
      3300.00    4.00    0.00    0.00       -37.934     -38.579     -38.814       0.646       0.881       0.235
      3300.00    4.50    0.00    0.00       -37.925     -38.535     -38.782       0.611       0.857       0.247
      3300.00    5.00    0.00    0.00       -37.918     -38.514     -38.764       0.596       0.846       0.250
      3300.00    5.50    0.00    0.00       -37.911     -38.509     -38.759       0.598       0.847       0.250
      3400.00    2.50    0.00    0.00       -37.966     -38.907     -39.111       0.941       1.145       0.204
      3400.00    3.00    0.00    0.00       -37.997     -38.884     -39.070       0.887       1.072       0.185
      3400.00    3.50    0.00    0.00       -38.028     -38.808     -39.001       0.779       0.973       0.193
      3400.00    4.00    0.00    0.00       -38.022     -38.700     -38.927       0.678       0.906       0.228
      3400.00    4.50    0.00    0.00       -38.019     -38.647     -38.887       0.629       0.868       0.240
      3400.00    5.00    0.00    0.00       -38.001     -38.603     -38.848       0.601       0.847       0.246
      3400.00    5.50    0.00    0.00       -38.012     -38.610     -38.852       0.598       0.841       0.242
      3500.00    2.50    0.00    0.00       -38.057     -38.989     -39.197       0.933       1.140       0.207
      3500.00    3.00    0.00    0.00       -38.073     -38.979     -39.168       0.906       1.096       0.190
      3500.00    3.50    0.00    0.00       -38.091     -38.912     -39.107       0.821       1.016       0.194
      3500.00    4.00    0.00    0.00       -38.106     -38.818     -39.037       0.713       0.931       0.218
      3500.00    4.50    0.00    0.00       -38.100     -38.742     -38.978       0.642       0.878       0.236
      3500.00    5.00    0.00    0.00       -38.092     -38.700     -38.940       0.608       0.848       0.240
      3500.00    5.50    0.00    0.00       -38.098     -38.695     -38.933       0.597       0.835       0.238
      3600.00    2.50    0.00    0.00       -38.134     -39.056     -39.264       0.923       1.130       0.207
      3600.00    3.00    0.00    0.00       -38.150     -39.059     -39.250       0.909       1.100       0.191
      3600.00    3.50    0.00    0.00       -38.167     -39.013     -39.203       0.846       1.036       0.189
      3600.00    4.00    0.00    0.00       -38.187     -38.934     -39.140       0.747       0.953       0.206
      3600.00    4.50    0.00    0.00       -38.186     -38.845     -39.074       0.660       0.888       0.229
