!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: AB
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (caracteristic of CCDs)
!
! 2MASS Cohen et al. (2003) RSR JHK filters
! (energy counting + add. zps used)
!
!        Teff    Logg   [M/H]   [a/H]             J           H           K         J-H         J-K         H-K
      2900.00    5.00    0.00    0.00       -36.617     -36.720     -36.537       0.103      -0.080      -0.183
      2900.00    5.50    0.00    0.00       -36.624     -36.745     -36.542       0.121      -0.082      -0.203
      3000.00    2.50    0.00    0.00       -36.739     -37.064     -36.765       0.326       0.026      -0.299
      3000.00    3.00    0.00    0.00       -36.769     -36.978     -36.704       0.209      -0.064      -0.273
      3000.00    3.50    0.00    0.00       -36.766     -36.885     -36.659       0.120      -0.107      -0.227
      3000.00    4.00    0.00    0.00       -36.751     -36.844     -36.642       0.093      -0.109      -0.202
      3000.00    4.50    0.00    0.00       -36.727     -36.817     -36.631       0.090      -0.096      -0.186
      3000.00    5.00    0.00    0.00       -36.740     -36.844     -36.646       0.103      -0.095      -0.198
      3000.00    5.50    0.00    0.00       -36.743     -36.861     -36.648       0.118      -0.096      -0.213
      3100.00    2.50    0.00    0.00       -36.822     -37.197     -36.904       0.375       0.082      -0.294
      3100.00    3.00    0.00    0.00       -36.854     -37.126     -36.842       0.272      -0.012      -0.284
      3100.00    3.50    0.00    0.00       -36.860     -37.022     -36.782       0.161      -0.078      -0.240
      3100.00    4.00    0.00    0.00       -36.840     -36.956     -36.745       0.116      -0.095      -0.212
      3100.00    4.50    0.00    0.00       -36.834     -36.942     -36.740       0.108      -0.094      -0.203
      3100.00    5.00    0.00    0.00       -36.820     -36.932     -36.730       0.111      -0.090      -0.202
      3100.00    5.50    0.00    0.00       -36.820     -36.945     -36.734       0.125      -0.086      -0.210
      3200.00    2.50    0.00    0.00       -36.902     -37.324     -37.039       0.422       0.137      -0.286
      3200.00    3.00    0.00    0.00       -36.940     -37.271     -36.981       0.330       0.041      -0.289
      3200.00    3.50    0.00    0.00       -36.956     -37.166     -36.911       0.209      -0.045      -0.254
      3200.00    4.00    0.00    0.00       -36.945     -37.091     -36.862       0.146      -0.083      -0.229
      3200.00    4.50    0.00    0.00       -36.931     -37.052     -36.839       0.121      -0.092      -0.213
      3200.00    5.00    0.00    0.00       -36.916     -37.031     -36.822       0.115      -0.094      -0.209
      3200.00    5.50    0.00    0.00       -36.921     -37.045     -36.830       0.124      -0.091      -0.215
      3300.00    2.50    0.00    0.00       -36.985     -37.439     -37.163       0.455       0.179      -0.276
      3300.00    3.00    0.00    0.00       -37.020     -37.400     -37.112       0.380       0.092      -0.288
      3300.00    3.50    0.00    0.00       -37.045     -37.307     -37.039       0.262      -0.006      -0.268
      3300.00    4.00    0.00    0.00       -37.037     -37.208     -36.973       0.171      -0.064      -0.235
      3300.00    4.50    0.00    0.00       -37.028     -37.164     -36.940       0.136      -0.088      -0.224
      3300.00    5.00    0.00    0.00       -37.022     -37.143     -36.922       0.121      -0.099      -0.221
      3300.00    5.50    0.00    0.00       -37.015     -37.138     -36.917       0.123      -0.098      -0.221
      3400.00    2.50    0.00    0.00       -37.070     -37.536     -37.270       0.466       0.199      -0.267
      3400.00    3.00    0.00    0.00       -37.101     -37.513     -37.228       0.412       0.127      -0.285
      3400.00    3.50    0.00    0.00       -37.132     -37.437     -37.159       0.305       0.027      -0.277
      3400.00    4.00    0.00    0.00       -37.125     -37.328     -37.086       0.203      -0.039      -0.242
