 # M = 0.35 Mo, Y = 0.2880, Z = 2.00000E-02, alpha = 1.68, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
 125  7.21439722   0.692  -1.25786   3.53595   6.61743   1.00850   0.00000   3.532E-04   0.000E+00   9.996E-01
 126  7.21841679   0.692  -1.26093   3.53594   6.61891   1.01300   0.00000   5.169E-04   0.000E+00   9.995E-01
 127  7.22239951   0.692  -1.26400   3.53593   6.62038   1.01750   0.00000   6.805E-04   0.000E+00   9.993E-01
 128  7.22634603   0.692  -1.26707   3.53593   6.62186   1.02200   0.00000   8.442E-04   0.000E+00   9.992E-01
 129  7.23025702   0.692  -1.27013   3.53592   6.62333   1.02649   0.00000   1.000E-03   0.000E+00   9.990E-01
 130  7.23413309   0.692  -1.27301   3.53591   6.62471   1.03071   0.00000   1.000E-03   0.000E+00   9.990E-01
 131  7.23797488   0.692  -1.27589   3.53590   6.62609   1.03493   0.00000   1.000E-03   0.000E+00   9.990E-01
 132  7.24178299   0.692  -1.27877   3.53590   6.62747   1.03915   0.00000   1.000E-03   0.000E+00   9.990E-01
 133  7.24555799   0.692  -1.28165   3.53589   6.62885   1.04337   0.00000   1.000E-03   0.000E+00   9.990E-01
 134  7.24930046   0.692  -1.28453   3.53588   6.63023   1.04759   0.00000   1.000E-03   0.000E+00   9.990E-01
 135  7.25301096   0.692  -1.28741   3.53587   6.63161   1.05181   0.00000   1.000E-03   0.000E+00   9.990E-01
 136  7.25669002   0.692  -1.29020   3.53587   6.63295   1.05588   0.00000   1.000E-03   0.000E+00   9.990E-01
 137  7.26033818   0.692  -1.29290   3.53586   6.63424   1.05984   0.00000   1.000E-03   0.000E+00   9.990E-01
 138  7.26395594   0.692  -1.29560   3.53585   6.63553   1.06379   0.00000   1.000E-03   0.000E+00   9.990E-01
 139  7.26754382   0.692  -1.29830   3.53584   6.63683   1.06774   0.00000   1.000E-03   0.000E+00   9.990E-01
 140  7.27110231   0.692  -1.30100   3.53583   6.63812   1.07169   0.00000   1.000E-03   0.000E+00   9.990E-01
 141  7.27463187   0.692  -1.30370   3.53582   6.63941   1.07565   0.00000   1.000E-03   0.000E+00   9.990E-01
 142  7.27813297   0.692  -1.30641   3.53581   6.64071   1.07960   0.00000   1.000E-03   0.000E+00   9.990E-01
 143  7.28160608   0.692  -1.30901   3.53581   6.64195   1.08341   0.00000   1.000E-03   0.000E+00   9.990E-01
 144  7.28505164   0.692  -1.31155   3.53580   6.64317   1.08712   0.00000   1.000E-03   0.000E+00   9.990E-01
 145  7.28847007   0.692  -1.31408   3.53579   6.64438   1.09082   0.00000   1.000E-03   0.000E+00   9.990E-01
 146  7.29186180   0.692  -1.31662   3.53578   6.64559   1.09453   0.00000   1.000E-03   0.000E+00   9.990E-01
 147  7.29522725   0.692  -1.31916   3.53577   6.64680   1.09824   0.00000   1.000E-03   0.000E+00   9.990E-01
 148  7.29856683   0.692  -1.32169   3.53576   6.64802   1.10195   0.00000   1.000E-03   0.000E+00   9.990E-01
 149  7.30188092   0.692  -1.32423   3.53576   6.64923   1.10565   0.00000   1.000E-03   0.000E+00   9.990E-01
 150  7.30516991   0.692  -1.32674   3.53575   6.65043   1.10932   0.00000   1.023E-03   0.000E+00   9.990E-01
 151  7.30843417   0.692  -1.32912   3.53574   6.65156   1.11279   0.00000   1.150E-03   0.000E+00   9.988E-01
 152  7.31167409   0.692  -1.33149   3.53573   6.65270   1.11627   0.00000   1.277E-03   0.000E+00   9.987E-01
 153  7.31489002   0.692  -1.33387   3.53572   6.65383   1.11974   0.00000   1.404E-03   0.000E+00   9.986E-01
